tweets,tweets_distribution,reviews,reviews_dist,gsd_score
what is the fix for your data breach,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.042429792429792446, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",it is not installing,"[0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04456654456654459, 0.02747252747252748, 0.02747252747252748, 0.02960927960927962, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02960927960927962, 0.02747252747252748, 0.042429792429792446, 0.02960927960927962, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.036093536869382305
what is the fix for your data breach,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.042429792429792446, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",when we instal whatsit then automatically left in group,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.03601953601953603, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.03815628815628817, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.042429792429792446, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",0.04206007797486478
what is the fix for your data breach,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.042429792429792446, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",bad customer servicelate replydamn it,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03114705001497454, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.03324348607367475, 0.026954177897574122, 0.039532794249775384, 0.02905061395627433, 0.026954177897574122, 0.03533992213237496, 0.03324348607367475, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04162923030847558, 0.026954177897574122, 0.026954177897574122]",0.04525017193568336
what is the fix for your data breach,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.042429792429792446, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",its really fine for international call very cheap,"[0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.032627865961199286, 0.02851263962375072, 0.026455026455026443, 0.026455026455026443, 0.028512639623750727, 0.026455026455026443, 0.026455026455026443, 0.03468547912992356, 0.026455026455026443, 0.026455026455026443, 0.04497354497354496, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.028512639623750727, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.04703115814226924, 0.026455026455026443, 0.0408583186360964, 0.026455026455026443, 0.026455026455026443]",0.04839916007455821
what is the fix for your data breach,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.042429792429792446, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",can not hear when call,"[0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.037436358191075166, 0.03533992213237497, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04162923030847559, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]",0.048980052162893584
when i try to email a complete chat of a group with or without medium through gmail i receive an error can not attach file and it stay on the mid of the screen at least for min unidentified bug please check it out thanks,"[0.023041474654377888, 0.024833589349718393, 0.03558627752176141, 0.023041474654377888, 0.0320020481310804, 0.023041474654377888, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.06067588325652846, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.0373783922171019, 0.032002048131080395, 0.023041474654377888, 0.028417818740399396, 0.04096262160778292, 0.023041474654377888, 0.028417818740399396, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.030209933435739904, 0.023041474654377888, 0.028417818740399396, 0.02483358934971839, 0.03558627752176141, 0.02483358934971839]",no longer trusted another junk application,"[0.026455026455026447, 0.03880070546737213, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.044973544973544964, 0.026455026455026447, 0.0408583186360964, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.030570252792475005, 0.026455026455026447, 0.028512639623750724, 0.030570252792475005, 0.040858318636096395, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447]",0.08157464875001884
when i try to email a complete chat of a group with or without medium through gmail i receive an error can not attach file and it stay on the mid of the screen at least for min unidentified bug please check it out thanks,"[0.023041474654377888, 0.024833589349718393, 0.03558627752176141, 0.023041474654377888, 0.0320020481310804, 0.023041474654377888, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.06067588325652846, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.0373783922171019, 0.032002048131080395, 0.023041474654377888, 0.028417818740399396, 0.04096262160778292, 0.023041474654377888, 0.028417818740399396, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.030209933435739904, 0.023041474654377888, 0.028417818740399396, 0.02483358934971839, 0.03558627752176141, 0.02483358934971839]",whatsit is lagging after an update not receiving notification until application is opened please rectify,"[0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03939909297052152, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.04336734693877548, 0.027494331065759617, 0.027494331065759613, 0.041383219954648505, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.03543083900226754, 0.025510204081632633, 0.029478458049886597, 0.025510204081632633, 0.027494331065759617, 0.027494331065759613, 0.04336734693877547, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.027494331065759617, 0.025510204081632633, 0.025510204081632633, 0.041383219954648505, 0.025510204081632633, 0.025510204081632633, 0.027494331065759613]",0.08646392457073189
when i try to email a complete chat of a group with or without medium through gmail i receive an error can not attach file and it stay on the mid of the screen at least for min unidentified bug please check it out thanks,"[0.023041474654377888, 0.024833589349718393, 0.03558627752176141, 0.023041474654377888, 0.0320020481310804, 0.023041474654377888, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.06067588325652846, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.0373783922171019, 0.032002048131080395, 0.023041474654377888, 0.028417818740399396, 0.04096262160778292, 0.023041474654377888, 0.028417818740399396, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.030209933435739904, 0.023041474654377888, 0.028417818740399396, 0.02483358934971839, 0.03558627752176141, 0.02483358934971839]",this application doe not downloadwhat now,"[0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.029050613956274327, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.0437256663671758, 0.02695417789757412, 0.02695417789757412, 0.04162923030847558, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.037436358191075166, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.03533992213237497, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.029050613956274327, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02905061395627433]",0.08806910275347746
when i try to email a complete chat of a group with or without medium through gmail i receive an error can not attach file and it stay on the mid of the screen at least for min unidentified bug please check it out thanks,"[0.023041474654377888, 0.024833589349718393, 0.03558627752176141, 0.023041474654377888, 0.0320020481310804, 0.023041474654377888, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.06067588325652846, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.0373783922171019, 0.032002048131080395, 0.023041474654377888, 0.028417818740399396, 0.04096262160778292, 0.023041474654377888, 0.028417818740399396, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.030209933435739904, 0.023041474654377888, 0.028417818740399396, 0.02483358934971839, 0.03558627752176141, 0.02483358934971839]",this application is not perfect,"[0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.029050613956274327, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.029050613956274327, 0.041629230308475575, 0.02695417789757412, 0.02695417789757412, 0.04162923030847558, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02905061395627433, 0.02695417789757412, 0.029050613956274327, 0.02695417789757412, 0.0437256663671758, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.029050613956274327, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412, 0.02695417789757412]",0.08810815577968037
when i try to email a complete chat of a group with or without medium through gmail i receive an error can not attach file and it stay on the mid of the screen at least for min unidentified bug please check it out thanks,"[0.023041474654377888, 0.024833589349718393, 0.03558627752176141, 0.023041474654377888, 0.0320020481310804, 0.023041474654377888, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.06067588325652846, 0.023041474654377888, 0.03558627752176141, 0.023041474654377888, 0.024833589349718393, 0.023041474654377888, 0.0373783922171019, 0.032002048131080395, 0.023041474654377888, 0.028417818740399396, 0.04096262160778292, 0.023041474654377888, 0.028417818740399396, 0.05709165386584745, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.023041474654377888, 0.02483358934971839, 0.030209933435739904, 0.023041474654377888, 0.028417818740399396, 0.02483358934971839, 0.03558627752176141, 0.02483358934971839]",stupid developer your feature extremely boring me suck,"[0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.03880070546737213, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.032627865961199286, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.032627865961199286, 0.026455026455026447, 0.026455026455026447, 0.0408583186360964, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.0408583186360964, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.038800705467372125, 0.026455026455026447]",0.08872698544703593
