tweets,tweets_distribution,reviews,reviews_dist,gsd_score
zuckerberg what is your problem so if russia or china doctored a video on a legit account about the dem running for president you would allow it you are about ready to be sanctioned congress will make sure of that please look into this and act,"[0.032930585169391145, 0.04951433309642268, 0.02132196162046909, 0.026297085998578544, 0.022980336413172247, 0.02132196162046909, 0.02132196162046909, 0.03127221037668801, 0.02132196162046909, 0.03127221037668801, 0.06443970623075104, 0.02132196162046909, 0.04785595830371952, 0.034588959962094296, 0.03624733475479746, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.03790570954750061, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.0279554607912817, 0.02132196162046909, 0.02132196162046909, 0.024638711205875397, 0.05117270788912583, 0.02132196162046909, 0.05117270788912583]",you are extremely limited on who you can follow and what you can post,"[0.02695417789757413, 0.045822102425876025, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.045822102425876025, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.031147050014974552, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.04162923030847561]",0.09531817908903506
zuckerberg what is your problem so if russia or china doctored a video on a legit account about the dem running for president you would allow it you are about ready to be sanctioned congress will make sure of that please look into this and act,"[0.032930585169391145, 0.04951433309642268, 0.02132196162046909, 0.026297085998578544, 0.022980336413172247, 0.02132196162046909, 0.02132196162046909, 0.03127221037668801, 0.02132196162046909, 0.03127221037668801, 0.06443970623075104, 0.02132196162046909, 0.04785595830371952, 0.034588959962094296, 0.03624733475479746, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.03790570954750061, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.0279554607912817, 0.02132196162046909, 0.02132196162046909, 0.024638711205875397, 0.05117270788912583, 0.02132196162046909, 0.05117270788912583]",new a new issue after the recent update i am unable to locate my album how do i look into my album,"[0.04260651629072682, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.042606516290726835, 0.032859927596769714, 0.02506265664160402, 0.027011974380395445, 0.032859927596769714, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.05820105820105824]",0.1064143459146934
zuckerberg what is your problem so if russia or china doctored a video on a legit account about the dem running for president you would allow it you are about ready to be sanctioned congress will make sure of that please look into this and act,"[0.032930585169391145, 0.04951433309642268, 0.02132196162046909, 0.026297085998578544, 0.022980336413172247, 0.02132196162046909, 0.02132196162046909, 0.03127221037668801, 0.02132196162046909, 0.03127221037668801, 0.06443970623075104, 0.02132196162046909, 0.04785595830371952, 0.034588959962094296, 0.03624733475479746, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.03790570954750061, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.0279554607912817, 0.02132196162046909, 0.02132196162046909, 0.024638711205875397, 0.05117270788912583, 0.02132196162046909, 0.05117270788912583]",please make most recent the default,"[0.04162923030847561, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.031147050014974552, 0.02695417789757413, 0.04372566636717582, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.02695417789757413, 0.04791853848457623]",0.10956067929971848
zuckerberg what is your problem so if russia or china doctored a video on a legit account about the dem running for president you would allow it you are about ready to be sanctioned congress will make sure of that please look into this and act,"[0.032930585169391145, 0.04951433309642268, 0.02132196162046909, 0.026297085998578544, 0.022980336413172247, 0.02132196162046909, 0.02132196162046909, 0.03127221037668801, 0.02132196162046909, 0.03127221037668801, 0.06443970623075104, 0.02132196162046909, 0.04785595830371952, 0.034588959962094296, 0.03624733475479746, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.03790570954750061, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.0279554607912817, 0.02132196162046909, 0.02132196162046909, 0.024638711205875397, 0.05117270788912583, 0.02132196162046909, 0.05117270788912583]",oh my god stop with the update make no difference,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125]",0.11263038980295868
zuckerberg what is your problem so if russia or china doctored a video on a legit account about the dem running for president you would allow it you are about ready to be sanctioned congress will make sure of that please look into this and act,"[0.032930585169391145, 0.04951433309642268, 0.02132196162046909, 0.026297085998578544, 0.022980336413172247, 0.02132196162046909, 0.02132196162046909, 0.03127221037668801, 0.02132196162046909, 0.03127221037668801, 0.06443970623075104, 0.02132196162046909, 0.04785595830371952, 0.034588959962094296, 0.03624733475479746, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.022980336413172243, 0.02132196162046909, 0.02132196162046909, 0.03790570954750061, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.02132196162046909, 0.0279554607912817, 0.02132196162046909, 0.02132196162046909, 0.024638711205875397, 0.05117270788912583, 0.02132196162046909, 0.05117270788912583]",it will not let me instal the application and because of application every move i make is being tracked,"[0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.04415584415584418, 0.036075036075036086, 0.025974025974025983, 0.04011544011544012, 0.027994227994228005, 0.04011544011544014, 0.027994227994228002, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04213564213564216, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.03405483405483406, 0.025974025974025983, 0.03001443001443003]",0.11331374085318757
maybe if i yell i have asked month and month and month why can not i see what i post and comment for day after the posting why can not you be bothered actually fix issue reported cause did here stopped at support since either closed or were working on it,"[0.020703933747412005, 0.02553485162180814, 0.040027605244996545, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.02553485162180814, 0.020703933747412005, 0.04485852311939269, 0.059351276742581095, 0.040027605244996545, 0.020703933747412005, 0.0239245456636761, 0.033586381412468364, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.03197607545433632, 0.020703933747412005, 0.02231423970554405, 0.023924545663676095, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.052910052910052914, 0.046468829077524726, 0.0239245456636761, 0.06096158270071314, 0.02231423970554405, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.02553485162180814, 0.03519668737060041]",take much time to load,"[0.02645502645502644, 0.02645502645502644, 0.030570252792474998, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04497354497354496, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04497354497354496, 0.04085831863609639, 0.02645502645502644, 0.040858318636096395, 0.030570252792474994, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]",0.1024101961786795
maybe if i yell i have asked month and month and month why can not i see what i post and comment for day after the posting why can not you be bothered actually fix issue reported cause did here stopped at support since either closed or were working on it,"[0.020703933747412005, 0.02553485162180814, 0.040027605244996545, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.02553485162180814, 0.020703933747412005, 0.04485852311939269, 0.059351276742581095, 0.040027605244996545, 0.020703933747412005, 0.0239245456636761, 0.033586381412468364, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.03197607545433632, 0.020703933747412005, 0.02231423970554405, 0.023924545663676095, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.052910052910052914, 0.046468829077524726, 0.0239245456636761, 0.06096158270071314, 0.02231423970554405, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.02553485162180814, 0.03519668737060041]",keep stating it can not download english united kingdom,"[0.027994227994228002, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04213564213564215, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04213564213564215, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.04011544011544012, 0.04415584415584418, 0.04415584415584418, 0.025974025974025983, 0.027994227994228005, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983, 0.025974025974025983]",0.10295988316165962
maybe if i yell i have asked month and month and month why can not i see what i post and comment for day after the posting why can not you be bothered actually fix issue reported cause did here stopped at support since either closed or were working on it,"[0.020703933747412005, 0.02553485162180814, 0.040027605244996545, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.02553485162180814, 0.020703933747412005, 0.04485852311939269, 0.059351276742581095, 0.040027605244996545, 0.020703933747412005, 0.0239245456636761, 0.033586381412468364, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.03197607545433632, 0.020703933747412005, 0.02231423970554405, 0.023924545663676095, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.052910052910052914, 0.046468829077524726, 0.0239245456636761, 0.06096158270071314, 0.02231423970554405, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.02553485162180814, 0.03519668737060041]",every time i try to go to a page i like it will not load the post disgusted seems every time they fix a problem a new one arises,"[0.025661375661375666, 0.025661375661375663, 0.027513227513227514, 0.023809523809523815, 0.023809523809523815, 0.025661375661375663, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.040476190476190485, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.038624338624338624, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.04973544973544975, 0.023809523809523815, 0.040476190476190485, 0.027513227513227514, 0.025661375661375666, 0.023809523809523815, 0.023809523809523815, 0.04232804232804234, 0.03492063492063493, 0.023809523809523815, 0.06825396825396828, 0.027513227513227514, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815]",0.1059930483866152
maybe if i yell i have asked month and month and month why can not i see what i post and comment for day after the posting why can not you be bothered actually fix issue reported cause did here stopped at support since either closed or were working on it,"[0.020703933747412005, 0.02553485162180814, 0.040027605244996545, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.02553485162180814, 0.020703933747412005, 0.04485852311939269, 0.059351276742581095, 0.040027605244996545, 0.020703933747412005, 0.0239245456636761, 0.033586381412468364, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.03197607545433632, 0.020703933747412005, 0.02231423970554405, 0.023924545663676095, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.052910052910052914, 0.046468829077524726, 0.0239245456636761, 0.06096158270071314, 0.02231423970554405, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.02553485162180814, 0.03519668737060041]",it keep freezing and i can not update it,"[0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.047031158142269235, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04291593180482067, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04497354497354495, 0.02645502645502644, 0.04497354497354495, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]",0.10654794140374073
maybe if i yell i have asked month and month and month why can not i see what i post and comment for day after the posting why can not you be bothered actually fix issue reported cause did here stopped at support since either closed or were working on it,"[0.020703933747412005, 0.02553485162180814, 0.040027605244996545, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.02553485162180814, 0.020703933747412005, 0.04485852311939269, 0.059351276742581095, 0.040027605244996545, 0.020703933747412005, 0.0239245456636761, 0.033586381412468364, 0.020703933747412005, 0.020703933747412005, 0.020703933747412005, 0.03197607545433632, 0.020703933747412005, 0.02231423970554405, 0.023924545663676095, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.052910052910052914, 0.046468829077524726, 0.0239245456636761, 0.06096158270071314, 0.02231423970554405, 0.0239245456636761, 0.020703933747412005, 0.022314239705544053, 0.02553485162180814, 0.03519668737060041]",of happened to the recent update i can not even switch acc now the just freeze acc,"[0.03675856307435257, 0.02506265664160402, 0.03480924533556114, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.042606516290726835, 0.032859927596769714, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02896129211918687, 0.02506265664160402, 0.03870788081314399, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.042606516290726835, 0.02506265664160402, 0.042606516290726835, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402]",0.10663090470629163
unable to like and share had to close my old facebok account reopened another facebok account i started having same problem with like and share number shown on the help page was told to buy google card to clear two hacker,"[0.024638711205875397, 0.03624733475479747, 0.021321961620469093, 0.07936507936507942, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.03624733475479747, 0.03458895996209431, 0.021321961620469093, 0.021321961620469093, 0.03624733475479747, 0.05283108268182899, 0.03293058516939116, 0.021321961620469093, 0.021321961620469093, 0.022980336413172247, 0.021321961620469093, 0.03458895996209431, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.05283108268182899, 0.03624733475479747, 0.04785595830371954, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.024638711205875394, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093]",since last updateseting appears to be coruptedmultiple window on setting please fixfacebok will not keep fixfacebok switch selectionalways resetsplease fix,"[0.026096314231907454, 0.02609631423190745, 0.024213075060532687, 0.041162227602905575, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.06941081517352705, 0.024213075060532687, 0.03551251008878128, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.056228140973903704, 0.024213075060532687, 0.024213075060532687, 0.02609631423190745, 0.024213075060532687, 0.024213075060532687, 0.026096314231907454, 0.024213075060532687, 0.041162227602905575, 0.03739574926015604, 0.024213075060532687, 0.026096314231907454, 0.029862792574656984, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.02609631423190745]",0.10932649192167537
unable to like and share had to close my old facebok account reopened another facebok account i started having same problem with like and share number shown on the help page was told to buy google card to clear two hacker,"[0.024638711205875397, 0.03624733475479747, 0.021321961620469093, 0.07936507936507942, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.03624733475479747, 0.03458895996209431, 0.021321961620469093, 0.021321961620469093, 0.03624733475479747, 0.05283108268182899, 0.03293058516939116, 0.021321961620469093, 0.021321961620469093, 0.022980336413172247, 0.021321961620469093, 0.03458895996209431, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.05283108268182899, 0.03624733475479747, 0.04785595830371954, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093, 0.024638711205875394, 0.021321961620469093, 0.021321961620469093, 0.021321961620469093]",what is going on with marketplace there are no description on anything,"[0.03880070546737212, 0.02645502645502644, 0.02645502645502644, 0.04085831863609639, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750714, 0.028512639623750714, 0.02645502645502644, 0.04497354497354495, 0.02851263962375072, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.04497354497354495, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.030570252792474998, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]",0.11213789492639029
