,tweet-id,timestamp,likes,replies,retweets,Bug_report,text
0,1.11e+18,18-03-2019 12:09,0,0,0,1,atuser can you fix this please this frustrating url
1,1.11e+18,12-03-2019 07:26,0,1,0,1,atuser can someone fix my snapshot well my phone is broke at bottom of screen and i can not accept the term and condition that came out about a month ago now but i want to accept them anyway of fixing this
2,1.13e+18,28-05-2019 04:50,0,0,0,1,atuser hi troubleshooter problem can you tell me how to update a business page admin for a business that sold and we have no acesinfo for the original owner who created the face-on business page we would hate to have to create a new one which mi
3,1.11e+18,13-03-2019 23:41,0,0,0,0,atuser atuser bad day at the office or no facebokdown instagramdownurl
4,1.13e+18,06-05-2019 11:15,10,0,0,1,if snapshot doe fix snapshot soon i seriously considering deleting the application i do not want to see the same story million time
5,1.13e+18,10-05-2019 11:42,0,1,0,1,check my pinned tweet i have the same issue and am trying to get snapshot to respond
6,1.11e+18,13-03-2019 17:59,0,0,0,1,atuser you are crashed and burned right now you need to fix it url
7,1.12e+18,20-04-2019 18:47,2,0,0,0,i fell off a counter drank an entire bottle of captain lost july broke my phone and pieced my life together based off my snapshot story so safe to say it was a good birthday url
8,1.12e+18,04-05-2019 20:40,0,0,0,1,atuser need to fix thing and make atuser how atuser used to be keep getting worse and worse everytime a new update drop
9,1.11e+18,30-03-2019 05:24,0,0,0,1,atuser i have paid rupee for my face-on page advertisement but a i can see here only rupee in my face-on account please resolve this issue url
10,1.13e+18,06-05-2019 01:07,0,0,0,1,atuser can you fix your application so i do not have to watch someone story time while it still say they have a new story
11,1.13e+18,17-05-2019 07:01,0,1,0,0,i scared to see myself on that snapshot filter i already a pretty nigra so if i get on that i know i am going to be loin bad a a mf fuck around n try to slide in my own dm
12,1.12e+18,08-04-2019 05:49,0,0,0,0,oh no snapshot memory are about to hit me bad now
13,1.11e+18,13-03-2019 18:54,0,0,0,1,i am one of the people having trouble guy you can get it done by tonight here in uk thanks
14,1.11e+18,13-03-2019 20:49,0,0,0,1,whatsit is bugged please fix this problem can not send any photovideo can not unload any status
15,1.1e+18,11-03-2019 01:42,13,1,0,0,okay so tm i go to vega n if you do not follow me on snapshot i feel bad for you bus it is gon na be a full on mess ready by the way
16,1.1e+18,12-02-2019 19:27,0,0,0,0,only ever come on this to check sc support page and find out why sc is broke but fucking hell snapshot sort it out am sick of it
17,1.11e+18,14-03-2019 01:18,0,0,0,1,we are getting problem in messenger and privacy setting of face-on
18,1.11e+18,13-03-2019 22:26,0,0,0,1,atuser why is that i see majority of my friend posting on your platform but i can not log in can you please fix this issue
19,1.12e+18,14-04-2019 11:41,0,0,0,1,atuser fix your application or we be goin to telegram
20,1.11e+18,14-03-2019 01:45,24,0,1,0,ya fix it yet i want to finish the video of had baby being interviewed by two kid
21,1.1e+18,20-02-2019 00:24,0,1,0,0,egg listen it was bad enough that they were playing on they phone the whole time bts was on stage like the disrespect but to take away a ticket from an actual fan just to snapshot the one some cause that is all they did i am
22,1.09e+18,07-02-2019 17:19,0,0,0,1,atuser atuser atuser atuser so big problem with the tunnel on goole map apparently there is not enough signal to get through to show the real time traffic i took this route because was fast but this route is gridlock in here
23,1.12e+18,24-04-2019 06:32,1,1,0,0,somebody gim me a crash course how to use snapshot url
24,1.1e+18,27-02-2019 04:11,0,0,0,0,my memory is too bad to have a conversation on snapshot
25,1.13e+18,25-05-2019 20:09,2,0,0,0,my mum trying to figure out how to use snapshot filter is both frustrating and amusing
26,1.11e+18,03-04-2019 18:30,0,1,0,1,hey atuser how do i fix the actual time to walk a distance i walked a distance today that said only hr when it turned into hr and it was the quickest way
27,1.13e+18,14-05-2019 13:55,0,1,0,0,i might have broken down and gotten snapshot just to try this myself
28,1.12e+18,08-04-2019 17:35,1,0,0,1,when snapshot has to fix snapshot software to benefit a slower phone url
29,1.11e+18,13-03-2019 21:50,0,0,0,1,atuser hello do not know whats an issue just can not able to send pic and video please try to solve the problem fast if possible
30,1.09e+18,05-02-2019 04:58,105,0,13,0,pray to god that my life never get so bad to the point i amounting on a dark screen on my snapshot story
31,1.11e+18,29-03-2019 17:04,0,0,0,1,atuser i am facing problem in downloading whatsit in window phone from microsoft store for last day screenshot are attached looking for reply url
32,1.11e+18,13-03-2019 21:21,0,0,0,0,can i help look for a hadow bug
33,1.09e+18,06-02-2019 10:40,0,0,0,1,atuser the transition to atuser can not come sooner goole play music is just riddled with super obvious bug unloading is broken everywhere but the music manager which look glitch a heck and i can not add album art url
34,1.11e+18,03-04-2019 00:24,0,0,0,1,atuser hello my number is banned from using whatsit i naver spred any false mess or naver done anything which is not good for society kindly solve the issue my number is
35,1.13e+18,18-05-2019 21:00,1,0,0,0,laugh out loud she added me first u you know how it show up when they add you to the contact and i felt bad not adding back idc about ig snapshot is we twitter is a def no aha
36,1.09e+18,09-02-2019 15:36,0,1,0,1,atuser really need to work on spanish language pronunciation listening to atuser give direction in the southwest hurt the ear how bad is it in mexico atuser
37,1.11e+18,13-03-2019 23:36,0,0,0,1,face-on please fix your shit before i lose my mind
38,1.1e+18,12-02-2019 12:55,2,0,0,0,my biggest pet reeve is when people snapshot how bad the weather or visibility is if its bad do not snapshot its while your drivingfocus on driving and get where you need to be safely i assure getting to your destination alive is more important than a snapshot of the weather
39,1.11e+18,14-03-2019 00:46,0,0,0,1,i do not think you guy are giving your all to fix the issue why are you doing this
40,1.13e+18,13-05-2019 18:49,1,2,0,0,downloaded snapshot just so i could use this filter and let is just say my fast is about to be broken ksksksks url
41,1.1e+18,06-03-2019 20:30,1,0,0,0,not a bad a others but its still up there on that list all girl need to stop posting body pic for attention on twitter there instagram and snapshot for that why would there be any other reason to post nude exposing series or attention seeking other then clout
42,1.12e+18,15-04-2019 18:00,1,0,0,0,i knew atuser would find a way to fight back and combat atuser reach problem but i dint see this coming snap outsources atuser proprietary story format to tinder and beyond ad have to be soon to come url nice piece by atuser
43,1.13e+18,14-05-2019 21:04,0,0,0,0,listen to ex goole employee this is one of goole employee biggest problem second to social justice trigger ready employee the way goole employee are organized goole employee usually have two to three aps doing pretty much the same thing goole employee do not know each other and goole doe care
44,1.13e+18,30-05-2019 23:03,0,0,0,0,atuser shareholder try and fail to limit mark zuckerberg is power url
45,1.13e+18,17-05-2019 18:35,15,0,0,0,people just want to be offended by something so bad mad online over a snapshot filter url
46,1.12e+18,27-04-2019 23:45,0,0,0,1,atuser yo my face-on marketplace has quit showing up like month ago so can you please stop ignoring me and help me fix your broken application
47,1.13e+18,30-05-2019 23:34,0,1,0,1,atuser i am posting snap to my private story on snapshot but my private story will not come up on any of my friend snap that i have posted my private story and they are having the same problem
48,1.11e+18,14-03-2019 03:53,1,0,0,1,please fix face-on its really annoying i lose my account what the heal was going on fucking crazy
49,1.11e+18,21-03-2019 18:34,0,0,0,0,i was able to fix it by switching to grin instead of using wife thanks for all the help appreciate it
50,1.11e+18,13-03-2019 19:14,84,1,1,1,whats is not working fix whats jez
51,1.11e+18,13-03-2019 23:37,0,0,0,0,atuser her extremely low intelligence has broken face-on url
52,1.12e+18,05-05-2019 01:35,0,1,0,0,thank you for sharing with me i have the snapshot saved from that concert gosh we need to hang out soon
53,1.13e+18,07-05-2019 14:57,0,1,0,1,were you able to get back into your account i having the same problem but their support page is just a bot sending generic message their support page no help
54,1.12e+18,20-04-2019 22:09,29,1,24,0,in real life stream w the girlfriend we are going to be hanging out being idiot and playing a snapshot easter egg hunt around we city might play some pool later too come stop by and handout with we url twitch streaming live in real life
55,1.09e+18,10-02-2019 17:02,3,0,0,0,how would snapshot know i like to stare at a broken tv from behind all night
56,1.13e+18,24-05-2019 19:38,18,8,0,0,all of my in real life friend are hanging out with each other and putting it on snapshot but will not answer my text when i ask if they want to hang out cool cool cool cool cool
57,1.11e+18,13-03-2019 21:36,0,0,0,1,atuser guy in mexico have the same problem error and
58,1.13e+18,18-05-2019 17:16,2,0,0,1,look what happened to snapshot specify fix snapshot specify
59,1.11e+18,13-03-2019 16:41,0,0,0,1,atuser hey it will not let me post or comment on your application is this shenanigan just happening to me or is this a bigger issue
60,1.13e+18,20-05-2019 06:35,9,1,0,0,when i have a bad day i just remember that my ex bfs new girl used to swap her face with mine on snapshot to post on his story so that i would see his story wasnt mad bc bc was actually an improvement for her so i do not blame ya si your face needed h e l p
61,1.1e+18,20-02-2019 23:43,0,0,1,0,a whole sixth-former said to a whole sixth-former a whole sixth-former doe streak to make a whole sixth-former snapshot score go up brother you have level to b focusing on fix up
62,1.12e+18,03-05-2019 02:21,1,0,0,1,you need to fix your dumb as application that make me rematch people story time atuser
63,1.1e+18,10-03-2019 03:28,0,0,0,0,atuser has no customer support service and that is very bad url
64,1.1e+18,25-02-2019 06:04,0,0,0,1,atuser atuser this problem is continuously coming within every day unable to fix this issue from setting can you please help me with this issue backup issue whatsapurl
65,1.1e+18,16-02-2019 16:27,0,1,0,1,i can not fix it please help me
66,1.13e+18,07-05-2019 20:26,0,0,0,0,today was such a bad day and i about to have a mental breakdown but my crush just sends me a snapshot which make everything a little better
67,1.12e+18,13-04-2019 05:10,1,0,1,1,man just give me all the picture and memory i posted on face-on and ill stop using you i am using this for like year just let me login once by the way i did not even break any rule and i am so confused why is my account disabled if there is prob to your sst kindly fix there is prob to your sst
68,1.13e+18,28-05-2019 07:22,2,1,0,1,but goglemaps seems to maybe not really understand how the cemetery is laid out make the cemetery look very straightforward and the cemetery is not gorgeous peaceful cool nicely paved but way more meander than the route shown on the map either that or i am suddenly very bad at map
69,1.1e+18,21-02-2019 04:19,0,0,0,1,atuser is there trouble with amazonprimevideo because my atuser tv will not open up the application help
70,1.13e+18,08-05-2019 01:57,0,1,0,1,hm that suck if its happening to a lot of people people have to address the problem
71,1.12e+18,17-04-2019 23:40,0,0,0,1,atuser anyone know how to fix it when you can not like or share any post pleasehelpnow
72,1.1e+18,04-03-2019 16:55,0,0,0,1,atuser since friday march i get this message on my nested find your friend on face-on once you have done that you will see their post and photo here i have friend already also i can not see any post on my nested when message appears plea
73,1.13e+18,07-05-2019 03:58,1,1,0,0,getting snapshot of cris singing to me will never fail to give me butterfly
74,1.1e+18,07-03-2019 00:59,4,0,1,0,just how many time since snapshot a known a snap po did i tell you it would crash and burn to oh that many time in chart one but oh my god what is this chart two holy carp i was right now only question is did you or did you not buy at and take to and make hm url
75,1.13e+18,06-05-2019 18:20,0,0,0,1,hey snapshot you may want to try fixing your application and stop locking people out of their account
76,1.1e+18,22-02-2019 20:51,0,1,0,1,atuser atuser atuser all of u apple us would appreciate if you fix the font u do not have android you are hurting pls feeling make it back to normal
77,1.13e+18,27-05-2019 15:50,0,0,0,1,atuser trying to fix someone else is wa install
78,1.11e+18,04-04-2019 14:55,0,0,0,1,atuser desktop mac application quits after open atuser desktop mac application systemlog say could not import service from caller caller others service desktopwhatsaploginhelper error service is disabled and service exited with abnormal code
79,1.12e+18,24-04-2019 04:17,4,0,1,0,peyton this post is for you every time i see a snapshot notification from you i dread a snapshot notification from you because i know i am about to be jealous because i am broke
80,1.11e+18,13-03-2019 23:45,0,0,0,1,i need to post thing please fix that
81,1.13e+18,15-05-2019 16:26,0,0,0,1,atuser also since the recent update i am not able to watch any of the video in face-on either is this a bug
82,1.11e+18,26-03-2019 14:56,1,0,0,0,watching atuser listen to bad bunny on snapshot make me so happy iconic
83,1.13e+18,19-05-2019 05:26,1,1,0,1,you have to wait like a week before they fix you are acc again
84,1.1e+18,05-03-2019 07:04,0,0,0,1,atuser why did you lock me out of my account again for some old post that i was locked out face-on before fix your whack site
85,1.13e+18,22-05-2019 18:24,0,0,0,1,atuser issue on url on desktop atuser issue on url on desktop display a source code page
86,1.12e+18,29-04-2019 15:23,6,1,2,0,remember the issue about the photographer who dedicated his whole instagram for his girlfriend of year yea but on snapshot hiss busy talking to other girl asking for head bc apparently other girl asking for head bc girl can not depthroat her girl sad is not it
87,1.13e+18,24-05-2019 21:20,456,3,64,0,no matter how fucking bad it get ill never sink so low to post my feeling on snapshot on a black screen at my big age
88,1.13e+18,19-05-2019 15:59,0,0,0,1,i noticed that people snap who i do not watch are starting to show first on the list so did snapshot fix that back or
89,1.13e+18,19-05-2019 16:58,0,0,0,0,thank you my son is birthday is tomorrow and i would like to create a couple of geofilters and i really do not want to have to go to my work tonight and get on my desktop to do so if somebody could get back to me and fix this issue a soon a possible that would be great
90,1.11e+18,14-03-2019 10:21,0,0,0,1,hi would you be able to fix you are update i can not see any name on my subscription so the only way i going to find out who it is is by clicking on my subscription now instead of just finding the one i need and then clicking on my subscription url
