tweets,tweets_distribution,reviews,reviews_dist,gsd_score
guy i am trying to contact you about an issue with a fundraiser i created can not select it from drop down menu on your support page can you please help,"[0.02380952380952381, 0.0904761904761905, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.027513227513227514, 0.04788359788359789, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.025661375661375663, 0.02380952380952381, 0.04603174603174602, 0.02380952380952381, 0.03677248677248677, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.04417989417989419]",i can not even log in wth,"[0.026455026455026447, 0.04291593180482067, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.03468547912992356, 0.028512639623750724, 0.030570252792475005, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.04908877131099351, 0.026455026455026447, 0.026455026455026447, 0.032627865961199286, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.03674309229864784, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447]",0.08821539688086656
guy i am trying to contact you about an issue with a fundraiser i created can not select it from drop down menu on your support page can you please help,"[0.02380952380952381, 0.0904761904761905, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.027513227513227514, 0.04788359788359789, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.025661375661375663, 0.02380952380952381, 0.04603174603174602, 0.02380952380952381, 0.03677248677248677, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.04417989417989419]",difficult i ambling and no customer service,"[0.02851263962375073, 0.05320399764844207, 0.026455026455026447, 0.030570252792475, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.02851263962375073, 0.026455026455026447, 0.030570252792475005, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.04291593180482069, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.032627865961199286]",0.08981507075000542
guy i am trying to contact you about an issue with a fundraiser i created can not select it from drop down menu on your support page can you please help,"[0.02380952380952381, 0.0904761904761905, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.027513227513227514, 0.04788359788359789, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.025661375661375663, 0.02380952380952381, 0.04603174603174602, 0.02380952380952381, 0.03677248677248677, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.04417989417989419]",face-on stopped many time and error also on video is work not good so slow responding,"[0.024213075060532684, 0.04869518428840462, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.04116222760290556, 0.024213075060532684, 0.03551251008878127, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.026096314231907444, 0.043045466774280325, 0.024213075060532684, 0.024213075060532684, 0.029862792574656977, 0.024213075060532684, 0.024213075060532684, 0.04116222760290556, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.024213075060532684, 0.03551251008878127, 0.024213075060532684, 0.02797955340328221, 0.026096314231907444, 0.024213075060532684, 0.043045466774280325, 0.026096314231907447, 0.026096314231907444, 0.04116222760290556]",0.09231452911696568
guy i am trying to contact you about an issue with a fundraiser i created can not select it from drop down menu on your support page can you please help,"[0.02380952380952381, 0.0904761904761905, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.027513227513227514, 0.04788359788359789, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.025661375661375663, 0.02380952380952381, 0.04603174603174602, 0.02380952380952381, 0.03677248677248677, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.04417989417989419]",always screw up update,"[0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.03533992213237496, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122]",0.09274408436408678
guy i am trying to contact you about an issue with a fundraiser i created can not select it from drop down menu on your support page can you please help,"[0.02380952380952381, 0.0904761904761905, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.027513227513227514, 0.04788359788359789, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.025661375661375663, 0.02380952380952381, 0.04603174603174602, 0.02380952380952381, 0.03677248677248677, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.025661375661375663, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02380952380952381, 0.02936507936507937, 0.04417989417989419]",please fix the problem that at the watch the video can not be played,"[0.026455026455026443, 0.042915931804820666, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.034685479129923556, 0.026455026455026443, 0.030570252792475, 0.02851263962375072, 0.026455026455026443, 0.04497354497354496, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.032627865961199286, 0.026455026455026443, 0.026455026455026443, 0.032627865961199286, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.026455026455026443, 0.038800705467372125]",0.09808572331247503
i have to contact with my friend in the songkran music festival and then facebok is down very bad,"[0.040657198551935406, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.028961292119186865, 0.02506265664160402, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.042606516290726835, 0.03675856307435256, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.06015037593984966, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.03870788081314399, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402]",this is very slow work,"[0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.04670329670329673, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748, 0.02747252747252748]",0.05609117934033116
i have to contact with my friend in the songkran music festival and then facebok is down very bad,"[0.040657198551935406, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.028961292119186865, 0.02506265664160402, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.042606516290726835, 0.03675856307435256, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.06015037593984966, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.03870788081314399, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402]",no response bad performance,"[0.03533992213237496, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.04162923030847558, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122, 0.03114705001497454, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.026954177897574122]",0.05675874292920771
i have to contact with my friend in the songkran music festival and then facebok is down very bad,"[0.040657198551935406, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.028961292119186865, 0.02506265664160402, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.042606516290726835, 0.03675856307435256, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.06015037593984966, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.03870788081314399, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402]",i changed my rating from to cause of always removing the share button of some post,"[0.03939909297052151, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.035430839002267546, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.0294784580498866, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.04336734693877548, 0.03543083900226754, 0.025510204081632633, 0.027494331065759617, 0.027494331065759613, 0.025510204081632633, 0.045351473922902466, 0.025510204081632633, 0.03939909297052152, 0.025510204081632633, 0.025510204081632633, 0.027494331065759613, 0.025510204081632633, 0.025510204081632633, 0.027494331065759613, 0.027494331065759613, 0.027494331065759613, 0.0294784580498866, 0.025510204081632633, 0.027494331065759617, 0.025510204081632633]",0.05771803271749856
i have to contact with my friend in the songkran music festival and then facebok is down very bad,"[0.040657198551935406, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.028961292119186865, 0.02506265664160402, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.042606516290726835, 0.03675856307435256, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.06015037593984966, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.03870788081314399, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402]",always when i try to log in it log me in to someone else account,"[0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.027494331065759617, 0.025510204081632633, 0.027494331065759613, 0.025510204081632633, 0.025510204081632633, 0.027494331065759617, 0.025510204081632633, 0.03741496598639454, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.05130385487528341, 0.03741496598639454, 0.025510204081632633, 0.03146258503401358, 0.025510204081632633, 0.025510204081632633, 0.04336734693877548, 0.025510204081632633, 0.035430839002267546, 0.027494331065759617, 0.025510204081632633, 0.029478458049886597, 0.03344671201814056, 0.027494331065759617, 0.025510204081632633, 0.025510204081632633, 0.027494331065759617, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633, 0.025510204081632633]",0.05790541004561904
i have to contact with my friend in the songkran music festival and then facebok is down very bad,"[0.040657198551935406, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.027011974380395442, 0.028961292119186865, 0.02506265664160402, 0.02506265664160402, 0.027011974380395445, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.042606516290726835, 0.03675856307435256, 0.02506265664160402, 0.04065719855193541, 0.02506265664160402, 0.02506265664160402, 0.06015037593984966, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.03870788081314399, 0.027011974380395442, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402, 0.02506265664160402]",there is always an update,"[0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.04029304029304031, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279622, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",0.05964520684739952
