level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,topic_distribution
0,159822,142230,1,Snapchat,,"['new', 'update', 'suck', 'bad', 'front_facing', 'camera', 'work', 'fine', 'filter', 'run', 'fine', 'updated', 'application', 'front_face', 'camera', 'doe', 'not', 'even', 'focus', 'properly', 'picture', 'come', 'saturate', 'terrible', 'general', 'fix', 'application', 'pronto']",2019-04-09,97053,"This new update sucks so bad, front facing camera was working fine and the filters were running fine too, until I updated the app and now the front facing camera doesn't even focus properly and pictures are coming out over saturated and just terrible in general, fix your app, pronto.",1,this new update suck so bad front facing camera was working fine and the filter were running fine too until i updated the application and now the front facing camera doe not even focus properly and picture are coming out over saturated and just terrible in general fix your application pronto,Rifat Parvez,"[0.024353120243531198, 0.022831050228310498, 0.0350076103500761, 0.022831050228310498, 0.03805175038051751, 0.038051750380517516, 0.05022831050228311, 0.022831050228310498, 0.03652968036529681, 0.024353120243531198, 0.039573820395738216, 0.0578386605783866, 0.022831050228310498, 0.03500761035007611, 0.028919330289193308, 0.033485540334855415, 0.024353120243531198, 0.022831050228310498, 0.022831050228310498, 0.022831050228310498, 0.038051750380517516, 0.0639269406392694, 0.022831050228310498, 0.028919330289193308, 0.04870624048706241, 0.04261796042617961, 0.0258751902587519, 0.0273972602739726, 0.05327245053272451, 0.022831050228310498]"
1,159823,142231,1,Snapchat,,"['be', 'always', 'be', 'easy', 'use', 'have', 'samsung_galaxy', 'front_camera', 'snap', 'be', 'way', 'zoomed', 'see', 'head', 'entire', 'screen', 'not', 'fit', 'anyone_else', 'entire', 'screen']",2019-04-08,97054,"it's always been easy to use. although now that I have a Samsung galaxy s10, the front camera for snap chat is way too zoomed in. At arms length, I can only see my head for the entire screen. I cant fit anyone else in it.",3,it is always been easy to use although now that i have a samsung galaxy s the front camera for snap chat is way too zoomed in at arm length i can only see my head for the entire screen i can not fit anyone else in the entire screen,K L,"[0.025764895330112718, 0.024154589371980673, 0.030595813204508854, 0.027375201288244763, 0.049919484702093404, 0.024154589371980673, 0.03381642512077295, 0.03703703703703705, 0.025764895330112718, 0.06924315619967794, 0.038647342995169094, 0.024154589371980673, 0.030595813204508854, 0.025764895330112718, 0.03381642512077296, 0.04508856682769727, 0.025764895330112718, 0.04830917874396136, 0.04025764895330113, 0.02576489533011272, 0.024154589371980673, 0.024154589371980673, 0.024154589371980673, 0.027375201288244763, 0.024154589371980673, 0.04186795491143317, 0.024154589371980673, 0.06602254428341385, 0.032206119162640906, 0.025764895330112718]"
2,159824,142232,1,Snapchat,,"['ever', 'april', 'time', 'try', 'open', 'application', 'show', 'loading', 'screen', 'crash', 'not', 'even', 'get', 'application', 'report', 'issue']",2019-04-08,97055,"ever since april 2nd any time i try to open the app it shows the loading scren then crashes, i cant even get in to the app to report an issue",1,ever since april nd any time i try to open the application it show the loading screen then crash i can not even get in to the application to report an issue,Devin Gillim,"[0.026041666666666657, 0.027777777777777773, 0.026041666666666657, 0.026041666666666657, 0.03819444444444444, 0.02777777777777777, 0.026041666666666657, 0.026041666666666657, 0.026041666666666657, 0.02951388888888888, 0.026041666666666657, 0.060763888888888895, 0.026041666666666657, 0.026041666666666657, 0.04340277777777778, 0.03993055555555556, 0.027777777777777773, 0.026041666666666657, 0.038194444444444454, 0.026041666666666657, 0.04166666666666667, 0.026041666666666657, 0.026041666666666657, 0.07465277777777776, 0.04340277777777778, 0.031249999999999993, 0.02777777777777777, 0.03472222222222223, 0.03472222222222222, 0.03993055555555556]"
3,159829,142237,1,Snapchat,,"['actually', 'bad', 'snapshot', 'update', 'ever', 'crash', 'constantly', 'bus', 'continuously', 'not', 'let', 'save', 'story', 'story', 'save', 'story', 'individual', 'memory', 'fix']",2019-04-10,97061,"actually the worst snapchat update ever. crashes constantly, bugges continuously, and wont let me save my stories as stories, saved them as individual memories. fix please.",1,actually the worst snapshot update ever crash constantly bus continuously and will not let me save my story a story saved my story a individual memory fix please,Lauren Harris,"[0.02564102564102563, 0.02905982905982905, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.042735042735042736, 0.03076923076923076, 0.02564102564102563, 0.056410256410256404, 0.02564102564102563, 0.03247863247863247, 0.02564102564102563, 0.02735042735042734, 0.056410256410256404, 0.03589743589743588, 0.02564102564102563, 0.02564102564102563, 0.04615384615384615, 0.02564102564102563, 0.03589743589743589, 0.056410256410256404, 0.05128205128205127, 0.037606837606837605, 0.041025641025641026, 0.02564102564102563, 0.029059829059829057, 0.02905982905982905, 0.02735042735042734, 0.02735042735042734]"
4,159830,142238,1,Snapchat,,"['need', 'scale', 'fit', 'nonstandard', 'screen', 'aspect_ratio', 'someone', 'put', 'content', 'edge', 'phone', 'screen', 'send', 'content', 'be', 'phone', 'screen', 'view', 'blackberry', 'ketone', 'android', 'also', 'inability', 'view', 'knapman', 'gps', 'set', 'set', 'device', 'location', 'permission', 'be', 'grant', 'enough', 'use', 'anything', 'be', 'info', 'goole', 'doe', 'not', 'need', 'use', 'marketing', 'purpose', 'poor', 'camera', 'qualityimage', 'compression']",2019-04-07,97063,"Need to scale down geofilters/content to fit non-standard screen aspect ratios. (If someone puts content at the edge of their iPhone screen when sending, the content is off the screen when viewing on my Blackberry KeyOne Android 7.1.1). Also, inability to view snapmap when GPS settings are set to ""Device Only"". Location permission is granted and that should be enough to use. Anything more is info Google doesn't need and used for marketing purposes. Poor camera quality/image compression.",2,need to scale down geofilterscontent to fit nonstandard screen aspect ratio if someone put content at the edge of their phone screen when sending the content is off their phone screen when viewing on my blackberry ketone android also inability to view knapman when gps setting are set to device only location permission is granted and that should be enough to use anything more is info goole doe not need and used for marketing purpose poor camera qualityimage compression,Adeline Bailey,"[0.03267973856209152, 0.020915032679738564, 0.05490196078431374, 0.019607843137254905, 0.0496732026143791, 0.019607843137254905, 0.03267973856209152, 0.03267973856209152, 0.024836601307189555, 0.020915032679738564, 0.020915032679738564, 0.06405228758169935, 0.020915032679738564, 0.0862745098039216, 0.019607843137254905, 0.06143790849673204, 0.024836601307189555, 0.047058823529411785, 0.027450980392156876, 0.0300653594771242, 0.020915032679738564, 0.023529411764705885, 0.03398692810457518, 0.022222222222222227, 0.02483660130718955, 0.06143790849673204, 0.03267973856209152, 0.019607843137254905, 0.019607843137254905, 0.030065359477124194]"
5,159832,142240,1,Snapchat,,"['much', 'lag', 'android', 'version', 'currently', 'use', 'samsung', 'even', 'get', 'stick', 'second', 'try', 'open', 'story']",2019-04-11,97064,TOO MUCH LAG in the android version. I am currently using Samsung A50. Even gets stuck for a few seconds when I try to open my own story.,2,too much lag in the android version i am currently using samsung a even get stuck for a few second when i try to open my own story,Rabi Ahmad,"[0.02732240437158469, 0.02732240437158469, 0.05646630236794172, 0.030965391621129323, 0.02732240437158469, 0.02732240437158469, 0.036429872495446276, 0.02732240437158469, 0.029143897996357013, 0.02732240437158469, 0.029143897996357013, 0.02732240437158469, 0.045537340619307844, 0.02732240437158469, 0.02732240437158469, 0.02914389799635701, 0.02732240437158469, 0.02732240437158469, 0.02914389799635701, 0.02732240437158469, 0.05282331511839709, 0.054644808743169404, 0.02732240437158469, 0.0400728597449909, 0.04371584699453553, 0.02914389799635701, 0.043715846994535526, 0.02914389799635701, 0.03825136612021859, 0.02732240437158469]"
6,159834,142242,1,Snapchat,,"['be', 'mess', 'little', 'snapshot', 'work', 'snapshot', 'great', 'use', 'snapshot', 'everyday', 'may', 'not', 'case', 'though', 'do', 'not', 'fix', 'little', 'problem']",2019-04-07,97066,my Snapchat is messing up a little but qhwn it works its great and i use it everyday. thst might not be the case though if they dont fix the little problem,3,my snapshot is messing up a little but when my snapshot work my snapshot great and i use my snapshot everyday that might not be the case though if they do not fix the little problem,Aabc Dee,"[0.026041666666666657, 0.026041666666666657, 0.05555555555555556, 0.026041666666666657, 0.026041666666666657, 0.026041666666666657, 0.03819444444444444, 0.026041666666666657, 0.026041666666666657, 0.026041666666666657, 0.027777777777777773, 0.045138888888888895, 0.031249999999999993, 0.026041666666666657, 0.026041666666666657, 0.05208333333333334, 0.027777777777777773, 0.026041666666666657, 0.08506944444444442, 0.026041666666666657, 0.026041666666666657, 0.032986111111111105, 0.026041666666666657, 0.050347222222222224, 0.027777777777777773, 0.04166666666666667, 0.02777777777777777, 0.02777777777777777, 0.03819444444444444, 0.026041666666666657]"
7,159835,142243,1,Snapchat,,"['video', 'recording', 'super', 'not', 'watch', 'whole', 'store', 'whole', 'store', 'go', 'black', 'playing', 'audio', 'have', 'keep', 'back', 'story', 'watch', 'snap', 'time']",2019-04-08,97067,videos are recording in super low quality. cant watch my whole store without it going all black (just playing audio). I have to keep backing out of my story to watch 1 snap at a time.,1,video are recording in super low quality can not watch my whole store without my whole store going all black just playing audio i have to keep backing out of my story to watch snap at a time,Tiff Ortega,"[0.02539682539682539, 0.08253968253968252, 0.026984126984126982, 0.02539682539682539, 0.03492063492063493, 0.026984126984126982, 0.028571428571428574, 0.04603174603174604, 0.0238095238095238, 0.04444444444444445, 0.06349206349206349, 0.042857142857142864, 0.025396825396825393, 0.0238095238095238, 0.03174603174603175, 0.03333333333333333, 0.025396825396825393, 0.0238095238095238, 0.02539682539682539, 0.02539682539682539, 0.02539682539682539, 0.028571428571428574, 0.0238095238095238, 0.0365079365079365, 0.0380952380952381, 0.03650793650793651, 0.02539682539682539, 0.03968253968253969, 0.03650793650793651, 0.0238095238095238]"
8,159837,142245,1,Snapchat,,"['snapshot', 'favourite', 'aps', 'longer', 'show', 'badge', 'notification', 'sound', 'doe', 'seem', 'right', 'have', 'uninstale', 'numerous', 'time', 'restart', 'phone', 'hope', 'work', 'properly', 'recently', 'today', 'sort', 'bug']",2019-04-07,97069,"Snapchat, which was one of my favourite apps, now no longer shows badges, uses notification sounds and just doesnt seem right. Ive uninstalled numerous times, restarting my phone, all in the hope it works properly. Most recently today. Please sort the bugs out.",2,snapshot which was one of my favourite aps now no longer show badge us notification sound and just doe seem right i have uninstaled numerous time restarting my phone all in the hope it work properly most recently today please sort the bug out,Andrea Crichton,"[0.027777777777777783, 0.026234567901234566, 0.03703703703703705, 0.03240740740740741, 0.023148148148148143, 0.023148148148148143, 0.024691358024691357, 0.04166666666666668, 0.04783950617283952, 0.030864197530864203, 0.03703703703703705, 0.03240740740740742, 0.02932098765432099, 0.05092592592592593, 0.06635802469135803, 0.026234567901234566, 0.023148148148148143, 0.03395061728395062, 0.0447530864197531, 0.023148148148148143, 0.029320987654320986, 0.02469135802469136, 0.03395061728395063, 0.03703703703703705, 0.02469135802469136, 0.023148148148148143, 0.023148148148148143, 0.026234567901234566, 0.030864197530864203, 0.06481481481481481]"
9,159839,142247,1,Snapchat,,"['absolutely', 'break', 'pixel', 'constantly', 'freeze', 'crashing', 'update', 'have', 'make', 'bad', 'completely_unusable']",2019-04-07,97071,Absolutely broken in Pixel 3. Constantly freezing and crashing. The updates have made it worse. completely unusable..,1,absolutely broken in pixel constantly freezing and crashing the update have made it worse completely unusable,Nic Conroy,"[0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.030131826741996225, 0.04519774011299436, 0.028248587570621465, 0.028248587570621465, 0.06779661016949151, 0.028248587570621465, 0.028248587570621465, 0.03766478342749529, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.030131826741996225, 0.03766478342749529, 0.03013182674199623, 0.064030131826742, 0.028248587570621465, 0.04519774011299436, 0.04519774011299436, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.028248587570621465, 0.030131826741996225]"
