tweets,tweets_distribution,reviews,reviews_dist,gsd_score
now can we work on support communication for business owner been trying to create a page for over month with an unresolved recurring error inquiry go completely ignored,"[0.03736263736263736, 0.023687423687423687, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03736263736263736, 0.021978021978021976, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.033943833943833934, 0.03394383394383394, 0.04078144078144078, 0.021978021978021976, 0.021978021978021976, 0.07155067155067156, 0.021978021978021976, 0.05616605616605618, 0.021978021978021976, 0.025396825396825393, 0.03736263736263736, 0.023687423687423687, 0.025396825396825397, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03907203907203907, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.04932844932844934, 0.021978021978021976, 0.021978021978021976]",lag shuts off and will not even let you see what you posted to the market,"[0.03675856307435255, 0.030910609857978288, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.036758563074352546, 0.02701197438039544, 0.030910609857978288, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.04650515176830967, 0.025062656641604016, 0.03675856307435256, 0.025062656641604016, 0.02701197438039544, 0.030910609857978288, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.02701197438039544, 0.025062656641604016, 0.03675856307435255, 0.04065719855193539, 0.027011974380395442, 0.025062656641604016, 0.025062656641604016, 0.025062656641604016, 0.03870788081314398, 0.025062656641604016]",0.1030721064661164
now can we work on support communication for business owner been trying to create a page for over month with an unresolved recurring error inquiry go completely ignored,"[0.03736263736263736, 0.023687423687423687, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03736263736263736, 0.021978021978021976, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.033943833943833934, 0.03394383394383394, 0.04078144078144078, 0.021978021978021976, 0.021978021978021976, 0.07155067155067156, 0.021978021978021976, 0.05616605616605618, 0.021978021978021976, 0.025396825396825393, 0.03736263736263736, 0.023687423687423687, 0.025396825396825397, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03907203907203907, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.04932844932844934, 0.021978021978021976, 0.021978021978021976]",he seems to have a problem with the marketplace interface,"[0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.03880070546737213, 0.026455026455026447, 0.04703115814226925, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.04291593180482069, 0.02851263962375073, 0.026455026455026447, 0.03468547912992357, 0.026455026455026447, 0.02851263962375073, 0.02851263962375073, 0.026455026455026447, 0.030570252792475005, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447]",0.10695666984052452
now can we work on support communication for business owner been trying to create a page for over month with an unresolved recurring error inquiry go completely ignored,"[0.03736263736263736, 0.023687423687423687, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03736263736263736, 0.021978021978021976, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.033943833943833934, 0.03394383394383394, 0.04078144078144078, 0.021978021978021976, 0.021978021978021976, 0.07155067155067156, 0.021978021978021976, 0.05616605616605618, 0.021978021978021976, 0.025396825396825393, 0.03736263736263736, 0.023687423687423687, 0.025396825396825397, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03907203907203907, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.04932844932844934, 0.021978021978021976, 0.021978021978021976]",do not let me post on market i amon samsung s,"[0.040115440115440125, 0.04415584415584418, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.03203463203463205, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.04213564213564216, 0.025974025974025986, 0.04213564213564216, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.027994227994228005, 0.025974025974025986, 0.02799422799422801, 0.025974025974025986, 0.04011544011544014, 0.02799422799422801, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986]",0.10744892177977008
now can we work on support communication for business owner been trying to create a page for over month with an unresolved recurring error inquiry go completely ignored,"[0.03736263736263736, 0.023687423687423687, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03736263736263736, 0.021978021978021976, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.033943833943833934, 0.03394383394383394, 0.04078144078144078, 0.021978021978021976, 0.021978021978021976, 0.07155067155067156, 0.021978021978021976, 0.05616605616605618, 0.021978021978021976, 0.025396825396825393, 0.03736263736263736, 0.023687423687423687, 0.025396825396825397, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03907203907203907, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.04932844932844934, 0.021978021978021976, 0.021978021978021976]",can not use marketplace anymorevery time show same message an unexpected error occurred,"[0.027494331065759662, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.027494331065759662, 0.02551020408163267, 0.027494331065759662, 0.02551020408163267, 0.0354308390022676, 0.02551020408163267, 0.02551020408163267, 0.037414965986394585, 0.039399092970521576, 0.02551020408163267, 0.02551020408163267, 0.02749433106575966, 0.02551020408163267, 0.041383219954648554, 0.03939909297052157, 0.02551020408163267, 0.03146258503401363, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.03146258503401363, 0.02551020408163267, 0.02749433106575966, 0.02551020408163267, 0.02551020408163267, 0.02551020408163267, 0.041383219954648554, 0.029478458049886646, 0.02551020408163267]",0.1082027986493569
now can we work on support communication for business owner been trying to create a page for over month with an unresolved recurring error inquiry go completely ignored,"[0.03736263736263736, 0.023687423687423687, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03736263736263736, 0.021978021978021976, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.033943833943833934, 0.03394383394383394, 0.04078144078144078, 0.021978021978021976, 0.021978021978021976, 0.07155067155067156, 0.021978021978021976, 0.05616605616605618, 0.021978021978021976, 0.025396825396825393, 0.03736263736263736, 0.023687423687423687, 0.025396825396825397, 0.023687423687423683, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.03907203907203907, 0.021978021978021976, 0.021978021978021976, 0.021978021978021976, 0.04932844932844934, 0.021978021978021976, 0.021978021978021976]",face-on has absolutely no understanding of what is objectionable and what not,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.0416292303084756, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.045822102425876025, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.045822102425876025, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.03114705001497455]",0.10841279390779489
just found a bug,"[0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",bad everytime it used to work bad,"[0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.04108309990662934, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.030189853719265497, 0.02801120448179273, 0.02801120448179273, 0.0301898537192655, 0.02801120448179273, 0.02801120448179273, 0.0301898537192655, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273, 0.02801120448179273]",0.02586964457221448
just found a bug,"[0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",birthday event is not showing friend birthday on same datafin it,"[0.03674309229864784, 0.02645502645502644, 0.047031158142269235, 0.02645502645502644, 0.02645502645502644, 0.05114638447971779, 0.02645502645502644, 0.028512639623750717, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750717, 0.030570252792474998, 0.028512639623750724, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750724, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644, 0.028512639623750717, 0.02645502645502644, 0.02645502645502644, 0.030570252792474998, 0.02645502645502644, 0.02645502645502644, 0.02645502645502644]",0.03258371251265581
just found a bug,"[0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",it is not opening,"[0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.03890445066915657, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.030189853719265494, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.030189853719265494, 0.028011204481792725, 0.030189853719265497, 0.030189853719265497, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725, 0.028011204481792725]",0.034460705200561145
just found a bug,"[0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",poor it will not stay connected,"[0.026954177897574122, 0.04372566636717581, 0.041629230308475595, 0.026954177897574122, 0.026954177897574122, 0.04582210242587602, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.02905061395627433, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.029050613956274333, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122, 0.026954177897574122]",0.03519263052270646
just found a bug,"[0.027472527472527482, 0.027472527472527482, 0.04456654456654459, 0.027472527472527482, 0.027472527472527482, 0.04670329670329673, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.029609279609279626, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482, 0.027472527472527482]",crash on opening on hawes p professional,"[0.026455026455026447, 0.026455026455026447, 0.044973544973544964, 0.03880070546737213, 0.026455026455026447, 0.04291593180482069, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.026455026455026447, 0.026455026455026447, 0.02851263962375073, 0.026455026455026447, 0.03880070546737213, 0.030570252792475, 0.026455026455026447, 0.028512639623750724, 0.026455026455026447, 0.026455026455026447]",0.036140117542158325
