level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,Unnamed: 12,Unnamed: 13,topic_distribution
0,174921,157329,1,Whatsapp,,"['bug', 'good', 'network', 'connection', 'not', 'send', 'receive', 'message', 'frequently', 'happen', 'friend', 'also']",2019-04-13,29431,Bug - good network connection but can't send or receiving messages. frequently happened with other friends also,2,bug good network connection but can not send or receiving message frequently happened with other friend also,Parth Popat,,,"[0.028735632183908035, 0.04597701149425287, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.0421455938697318, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.04597701149425287, 0.03065134099616857, 0.04022988505747126, 0.028735632183908035, 0.030651340996168574, 0.028735632183908035, 0.03065134099616857, 0.028735632183908035, 0.06130268199233715, 0.028735632183908035, 0.04597701149425287, 0.028735632183908035, 0.04597701149425287, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.03256704980842911, 0.03065134099616857]"
1,174925,157333,1,Whatsapp,,"['not', 'able', 'download', 'image', 'video', 'audio', 'samsung_galaxy', 'model', 'kindly', 'help']",2019-04-12,29435,"not able to download images, videos and audios on my Samsung galaxy on7 model .....kindly help",1,not able to download image video and audio on my samsung galaxy on model kindly help,Madhu Devi,,,"[0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.04214559386973181, 0.06321839080459771, 0.02873563218390804, 0.04597701149425288, 0.04597701149425288, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.04406130268199235, 0.0421455938697318, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.04789272030651341, 0.030651340996168574, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.030651340996168574, 0.02873563218390804, 0.032567049808429116, 0.02873563218390804]"
2,174926,157334,1,Whatsapp,,"['contact', 'not', 'access', 'press', 'view', 'adresbok', 'nothing', 'happen', 'liz', 'fix', 'honor', 'view']",2019-04-12,29436,my contect cannot be access . when press the view in addressbook nothing happen pliz fix this for honor view20,1,my contact can not be access when press the view in adresbok nothing happen liz fix this for honor view,Royal Infinity,,,"[0.04597701149425287, 0.04597701149425287, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.034482758620689655, 0.044061302681992334, 0.03065134099616857, 0.028735632183908035, 0.028735632183908035, 0.038314176245210725, 0.028735632183908035, 0.04597701149425287, 0.028735632183908035, 0.04597701149425287, 0.03065134099616857, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.04597701149425287, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035, 0.044061302681992334, 0.030651340996168574, 0.028735632183908035, 0.028735632183908035, 0.028735632183908035]"
3,174930,157338,1,Whatsapp,,"['whtsap', 'message', 'send', 'ni', 'open', 'hu', 'internet', 'be', 'work']",2019-04-17,29440,bht tang kr rha hai whtsapp msg send ni hu rhy and status open ni hu rhy Internet is working,1,but tang kr rha hai whtsap message send ni hu why and status open ni hu why internet is working,tik tok,,,"[0.0421455938697318, 0.04597701149425288, 0.02873563218390804, 0.04597701149425288, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.036398467432950186, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.030651340996168574, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.04789272030651342, 0.04597701149425288, 0.02873563218390804, 0.04597701149425288, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.04597701149425288, 0.02873563218390804, 0.02873563218390804, 0.02873563218390804, 0.038314176245210725]"
4,174931,157339,1,Whatsapp,,"['status', 'not', 'playing', 'continue', 'have', 'go', 'back', 'come', 'load', 'video', 'status', 'maybe', 'bug']",2019-04-16,29441,statuses are not playing continuesly we have to go back and come again to load the video statuses maybe a bug .,3,status are not playing continues we have to go back and come again to load the video status maybe a bug,Muhammed Inzamam,,,"[0.02824858757062145, 0.02824858757062145, 0.02824858757062145, 0.03389830508474574, 0.02824858757062145, 0.02824858757062145, 0.045197740112994336, 0.030131826741996215, 0.02824858757062145, 0.03766478342749528, 0.02824858757062145, 0.060263653483992444, 0.02824858757062145, 0.02824858757062145, 0.02824858757062145, 0.04519774011299433, 0.045197740112994336, 0.02824858757062145, 0.04331450094161957, 0.02824858757062145, 0.02824858757062145, 0.045197740112994336, 0.03201506591337098, 0.02824858757062145, 0.02824858757062145, 0.02824858757062145, 0.030131826741996215, 0.04331450094161957, 0.02824858757062145, 0.02824858757062145]"
5,174932,157340,1,Whatsapp,,"['almost', 'time', 'exit', 'group', 'deleting', 'message', 'notification', 'stay', 'damn', 'notification', 'center', 'doe', 'not', 'go', 'away', 'force', 'stop']",2019-04-15,29442,"Almost every time I exit a group a ""Deleting messages... "" notification stays on the damn Notifcations Center and doesn't go away unless I force stop.",1,almost every time i exit a group a deleting message notification stay on the damn notification center and doe not go away unless i force stop,Flavio Hernandez,,,"[0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.041025641025641026, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.07179487179487176, 0.041025641025641026, 0.02564102564102563, 0.03931623931623931, 0.027350427350427337, 0.041025641025641026, 0.06666666666666664, 0.02564102564102563, 0.03931623931623931, 0.02564102564102563, 0.041025641025641026, 0.03076923076923076, 0.02564102564102563, 0.02564102564102563, 0.02564102564102563, 0.041025641025641026, 0.041025641025641026, 0.02564102564102563, 0.042735042735042736]"
6,174935,157343,1,Whatsapp,,"['view', 'status', 'status', 'second', 'one', 'be', 'become', 'mute', 'phone', 'be', 'silent', 'mode']",2019-04-14,29446,In viewed status if there are two status the the second one is become mute if my phone is in silent mode. why?,3,in viewed status if there are two status the the second one is become mute if my phone is in silent mode why,Satyam Kumar,,,"[0.04444444444444447, 0.03434343434343435, 0.030303030303030307, 0.03232323232323232, 0.038383838383838395, 0.03232323232323232, 0.030303030303030307, 0.036363636363636376, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.03232323232323232, 0.04040404040404042, 0.04444444444444446, 0.030303030303030307, 0.03232323232323233, 0.030303030303030307, 0.03232323232323232, 0.03232323232323233, 0.030303030303030307, 0.030303030303030307, 0.030303030303030307, 0.046464646464646486, 0.03434343434343435, 0.030303030303030307, 0.03232323232323233, 0.030303030303030307]"
7,174938,157346,1,Whatsapp,,"['show', 'instal', 'download', 'do', 'time', 'still', 'not', 'open', 'help', 'urgently']",2019-04-14,29449,it showing uninstall whatsapp and download again.. i did it thousand times bt still can't open it😭😭😭😭 plz help me urgently,2,it showing instal whatsit and download again i did it thousand time bt still can not open it please help me urgently,Marya Ibnah,,,"[0.030131826741996222, 0.028248587570621462, 0.028248587570621462, 0.04519774011299435, 0.03389830508474576, 0.04708097928436912, 0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.03766478342749528, 0.028248587570621462, 0.028248587570621462, 0.03954802259887006, 0.028248587570621462, 0.028248587570621462, 0.030131826741996225, 0.028248587570621462, 0.05084745762711864, 0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.04708097928436912, 0.030131826741996225, 0.028248587570621462, 0.03389830508474576, 0.028248587570621462, 0.05273069679849341, 0.028248587570621462, 0.030131826741996225, 0.03954802259887006]"
8,174941,157349,1,Whatsapp,,"['still', 'send', 'image', 'low', 'resolution', 'come', 'guy', 'need', 'able', 'send', 'in', 'hd', 'quality']",2019-04-11,29452,Its 2019 and whatsapp still sending images in low resolution!! Come on guys we need to be able to send in HD QUALITY,3,its and whatsit still sending image in low resolution come on guy we need to be able to send in hd quality,Hossam A Abo Lubbad,,,"[0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.030131826741996222, 0.041431261770244816, 0.030131826741996225, 0.028248587570621462, 0.04519774011299435, 0.028248587570621462, 0.05273069679849341, 0.04519774011299435, 0.04331450094161959, 0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.028248587570621462, 0.030131826741996225, 0.028248587570621462, 0.030131826741996222, 0.03201506591337099, 0.04331450094161959, 0.030131826741996222, 0.028248587570621462, 0.048964218455743884, 0.028248587570621462, 0.030131826741996225, 0.04331450094161959]"
9,174944,157352,1,Whatsapp,,"['try', 'use', 'unable', 'could', 'problem']",2019-04-14,29456,am trying to use my whatsapp but am unable to .what could be the problem.,1,am trying to use my whatsit but am unable to what could be the problem,Mariah Adhiambo,,,"[0.046464646464646486, 0.03232323232323232, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.03232323232323232, 0.03232323232323232, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.03232323232323232, 0.030303030303030304, 0.03838383838383839, 0.04444444444444447, 0.030303030303030304, 0.03232323232323233, 0.030303030303030304, 0.03232323232323233, 0.030303030303030304, 0.03232323232323232, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.03232323232323233, 0.030303030303030304, 0.03232323232323233, 0.0484848484848485, 0.046464646464646486]"
10,174945,157353,1,Whatsapp,,"['be', 'problem', 'message', 'late', 'sometimes', 'take', 'long', 'send']",2019-04-14,29457,is there a problem in whatsapp?? messages are late and sometimes it takes long to send,2,is there a problem in whatsit message are late and sometimes it take long to send,Ericka Kin Lozada,,,"[0.05656565656565659, 0.030303030303030304, 0.030303030303030304, 0.03232323232323232, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.03232323232323232, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.046464646464646486, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.03232323232323233, 0.030303030303030304, 0.046464646464646486, 0.048484848484848506, 0.03232323232323232, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.03232323232323233, 0.03232323232323232, 0.03232323232323233, 0.030303030303030304, 0.030303030303030304]"
11,174946,157354,1,Whatsapp,,"['slow', 'have', 'privacy', 'problem']",2019-04-14,29458,Slow and have privacy problems.,1,slow and have privacy problem,Ismail El-Hasnaouy,,,"[0.049382716049382706, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.06584362139917695, 0.030864197530864185, 0.043209876543209874, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185, 0.032921810699588466, 0.032921810699588466, 0.030864197530864185, 0.030864197530864185, 0.030864197530864185]"
12,174950,157358,1,Whatsapp,,"['restrict', 'repeat', 'message', 'send', 'rub']",2019-04-12,29462,why r restrict for 5. if repeated message are to be send again and again. rubbis,1,why are restrict for if repeated message are to be send again and again rub,Ashis Mandal,,,"[0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.032921810699588466, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.045267489711934165, 0.03086419753086419, 0.043209876543209874, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.032921810699588466, 0.03086419753086419, 0.04938271604938272, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.03086419753086419, 0.032921810699588466, 0.03086419753086419, 0.051440329218107, 0.03086419753086419, 0.032921810699588466]"
