tweets,tweets_distribution,reviews,reviews_dist,gsd_score
snapchat support team are not being helpful i amanaging an influencers account and i amhaving trouble with number please direct me to the right person or team its been month and thing are getting frustrating youre my last hope much appreciated,"[0.04385715638912569, 0.04707776830538979, 0.026143790849673203, 0.021312872975277068, 0.022923178933409116, 0.021312872975277068, 0.034195320640333426, 0.022923178933409116, 0.034195320640333426, 0.030974708724069336, 0.021312872975277068, 0.022923178933409116, 0.022923178933409116, 0.03902623851472956, 0.03580562659846547, 0.04868807426352182, 0.05834991001231409, 0.021312872975277068, 0.021312872975277068, 0.024533484891541158, 0.021312872975277068, 0.021312872975277068, 0.03580562659846547, 0.024533484891541158, 0.022923178933409116, 0.03580562659846547, 0.022923178933409116, 0.022923178933409116, 0.034195320640333426, 0.03580562659846547, 0.021312872975277068, 0.030974708724069336, 0.022923178933409116, 0.026143790849673203]",when i have streak to look at on the page it is difficult to enter in,"[0.02875816993464054, 0.0449197860962567, 0.026737967914438516, 0.02875816993464054, 0.026737967914438516, 0.026737967914438516, 0.0449197860962567, 0.026737967914438516, 0.026737967914438516, 0.034818775995246604, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.04087938205585267, 0.03885918003565064, 0.03279857397504458, 0.02875816993464054, 0.02875816993464054, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.026737967914438516, 0.03279857397504458, 0.026737967914438516, 0.026737967914438516]",0.08059655674412193
snapchat support team are not being helpful i amanaging an influencers account and i amhaving trouble with number please direct me to the right person or team its been month and thing are getting frustrating youre my last hope much appreciated,"[0.04385715638912569, 0.04707776830538979, 0.026143790849673203, 0.021312872975277068, 0.022923178933409116, 0.021312872975277068, 0.034195320640333426, 0.022923178933409116, 0.034195320640333426, 0.030974708724069336, 0.021312872975277068, 0.022923178933409116, 0.022923178933409116, 0.03902623851472956, 0.03580562659846547, 0.04868807426352182, 0.05834991001231409, 0.021312872975277068, 0.021312872975277068, 0.024533484891541158, 0.021312872975277068, 0.021312872975277068, 0.03580562659846547, 0.024533484891541158, 0.022923178933409116, 0.03580562659846547, 0.022923178933409116, 0.022923178933409116, 0.034195320640333426, 0.03580562659846547, 0.021312872975277068, 0.030974708724069336, 0.022923178933409116, 0.026143790849673203]",the server has a problem every time i try to sign up,"[0.02673796791443852, 0.0530005941770648, 0.02673796791443852, 0.02673796791443852, 0.030778371954842565, 0.02673796791443852, 0.04087938205585267, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.04289958407605469, 0.02673796791443852, 0.032798573975044584, 0.04491978609625671, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.02673796791443852, 0.032798573975044584, 0.02673796791443852, 0.02673796791443852]",0.08306810540483794
snapchat support team are not being helpful i amanaging an influencers account and i amhaving trouble with number please direct me to the right person or team its been month and thing are getting frustrating youre my last hope much appreciated,"[0.04385715638912569, 0.04707776830538979, 0.026143790849673203, 0.021312872975277068, 0.022923178933409116, 0.021312872975277068, 0.034195320640333426, 0.022923178933409116, 0.034195320640333426, 0.030974708724069336, 0.021312872975277068, 0.022923178933409116, 0.022923178933409116, 0.03902623851472956, 0.03580562659846547, 0.04868807426352182, 0.05834991001231409, 0.021312872975277068, 0.021312872975277068, 0.024533484891541158, 0.021312872975277068, 0.021312872975277068, 0.03580562659846547, 0.024533484891541158, 0.022923178933409116, 0.03580562659846547, 0.022923178933409116, 0.022923178933409116, 0.034195320640333426, 0.03580562659846547, 0.021312872975277068, 0.030974708724069336, 0.022923178933409116, 0.026143790849673203]",i can not download it someone help,"[0.027746947835738084, 0.04661487236403998, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.04242200024663956, 0.03193981995313851, 0.027746947835738084, 0.04451843630533976, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.029843383894438295, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084, 0.027746947835738084]",0.08371129067878959
snapchat support team are not being helpful i amanaging an influencers account and i amhaving trouble with number please direct me to the right person or team its been month and thing are getting frustrating youre my last hope much appreciated,"[0.04385715638912569, 0.04707776830538979, 0.026143790849673203, 0.021312872975277068, 0.022923178933409116, 0.021312872975277068, 0.034195320640333426, 0.022923178933409116, 0.034195320640333426, 0.030974708724069336, 0.021312872975277068, 0.022923178933409116, 0.022923178933409116, 0.03902623851472956, 0.03580562659846547, 0.04868807426352182, 0.05834991001231409, 0.021312872975277068, 0.021312872975277068, 0.024533484891541158, 0.021312872975277068, 0.021312872975277068, 0.03580562659846547, 0.024533484891541158, 0.022923178933409116, 0.03580562659846547, 0.022923178933409116, 0.022923178933409116, 0.034195320640333426, 0.03580562659846547, 0.021312872975277068, 0.030974708724069336, 0.022923178933409116, 0.026143790849673203]",keep exiting video by it self,"[0.04575163398692813, 0.0272331154684096, 0.029290728637133882, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.03340595497458244, 0.0272331154684096, 0.0272331154684096, 0.05192447349310097, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.03134834180585816, 0.04575163398692813, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096]",0.08442767511258356
snapchat support team are not being helpful i amanaging an influencers account and i amhaving trouble with number please direct me to the right person or team its been month and thing are getting frustrating youre my last hope much appreciated,"[0.04385715638912569, 0.04707776830538979, 0.026143790849673203, 0.021312872975277068, 0.022923178933409116, 0.021312872975277068, 0.034195320640333426, 0.022923178933409116, 0.034195320640333426, 0.030974708724069336, 0.021312872975277068, 0.022923178933409116, 0.022923178933409116, 0.03902623851472956, 0.03580562659846547, 0.04868807426352182, 0.05834991001231409, 0.021312872975277068, 0.021312872975277068, 0.024533484891541158, 0.021312872975277068, 0.021312872975277068, 0.03580562659846547, 0.024533484891541158, 0.022923178933409116, 0.03580562659846547, 0.022923178933409116, 0.022923178933409116, 0.034195320640333426, 0.03580562659846547, 0.021312872975277068, 0.030974708724069336, 0.022923178933409116, 0.026143790849673203]",i am still having load of problem with this application,"[0.0272331154684096, 0.04575163398692813, 0.037521181312031, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.029290728637133882, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.037521181312031, 0.0272331154684096, 0.03134834180585816, 0.04575163398692813, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.0272331154684096, 0.03340595497458244, 0.0272331154684096, 0.03134834180585816]",0.08590605247691038
there are a few reason your account can be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing a generic login error message check out this link,"[0.024108003857280628, 0.024108003857280628, 0.029572484731597563, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.08057430622522234, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.14250508946748103]",i can not even log back into my account i tried doing forgot password and changed everything forgot password still will not work,"[0.03686683006535947, 0.024714052287581695, 0.022977941176470586, 0.022977941176470586, 0.024714052287581695, 0.022977941176470586, 0.031658496732026135, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.05422794117647056, 0.029922385620915027, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.022977941176470586, 0.03860294117647058, 0.024714052287581695, 0.022977941176470586, 0.022977941176470586, 0.024714052287581695, 0.03860294117647058, 0.024714052287581695, 0.022977941176470586, 0.022977941176470586, 0.031658496732026135, 0.13235294117647056]",0.10281982804404331
there are a few reason your account can be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing a generic login error message check out this link,"[0.024108003857280628, 0.024108003857280628, 0.029572484731597563, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.08057430622522234, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.14250508946748103]",this application is slow i try doing something but this application will log me off i am tired of this,"[0.025799793601651196, 0.02774911134044262, 0.039445017773191156, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.04724228872835685, 0.04334365325077401, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.03554638229560831, 0.025799793601651196, 0.025799793601651196, 0.039445017773191156, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.06283683063868822]",0.11837707497559202
there are a few reason your account can be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing a generic login error message check out this link,"[0.024108003857280628, 0.024108003857280628, 0.029572484731597563, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.08057430622522234, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.14250508946748103]",i change my password and save my password and go to log in say wrong password,"[0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.039445017773191156, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.043343653250774, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.02774911134044262, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.025799793601651196, 0.11156977410847381]",0.1221733773231158
there are a few reason your account can be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing a generic login error message check out this link,"[0.024108003857280628, 0.024108003857280628, 0.029572484731597563, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.08057430622522234, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.14250508946748103]",always show that my number is invalid when i try to log in every time i instal and deinstall my number is invalid when i try to log in this happens,"[0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.02687000726216414, 0.03216101255316943, 0.02334267040149394, 0.030397344122834333, 0.02334267040149394, 0.025106338831829042, 0.03745201784417473, 0.02334267040149394, 0.05332503371719059, 0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.053325033717190606, 0.05508870214752569, 0.02334267040149394, 0.02334267040149394, 0.03745201784417473, 0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.03745201784417473, 0.02334267040149394, 0.025106338831829042, 0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.02334267040149394, 0.07272538645087666]",0.12625113137745225
there are a few reason your account can be locked learn more here team snapchat is unable to unlock your account during this time if you are seeing a generic login error message check out this link,"[0.024108003857280628, 0.024108003857280628, 0.029572484731597563, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.08057430622522234, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.024108003857280628, 0.14250508946748103]",used to be good i logged out and now it keep saying wrong password i have attempted to change password and log in several time,"[0.03745201784417471, 0.03921568627450981, 0.023342670401493935, 0.02510633883182903, 0.028633675692499225, 0.02510633883182903, 0.03392468098350452, 0.023342670401493935, 0.04097935470484491, 0.023342670401493935, 0.023342670401493935, 0.03392468098350452, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.02687000726216413, 0.023342670401493935, 0.023342670401493935, 0.028633675692499225, 0.023342670401493935, 0.023342670401493935, 0.02510633883182903, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.02510633883182903, 0.023342670401493935, 0.048034028426185295, 0.023342670401493935, 0.023342670401493935, 0.03921568627450981, 0.09918041290590311]",0.12667637304874013
