level_0,index,Unnamed: 0,Bug_report,appTitle,bug_report,comment,date,id,original_text,score,text,userName,topic_distribution
0,87851,70259,1,Snapchat,,"['be', 'slow', 'not', 'take_forever', 'send', 'video', 'ap']",2019-03-31,128879,It's slow ... I can't takes forever to send my videos to other apps,2,it is slow i can not take forever to send my video to other aps,A Google User,"[0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.03816526610644258, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.02626050420168068, 0.03816526610644258, 0.02626050420168068, 0.028244631185807664, 0.02626050420168068, 0.028244631185807664, 0.02626050420168068, 0.06594304388422034, 0.03419701213818862, 0.02626050420168068, 0.02626050420168068, 0.05403828197945846, 0.03022875816993465, 0.02626050420168068]"
1,87852,70260,1,Snapchat,,"['currently', 'many', 'bug', 'android', 'not', 'get', 'rid', 'story', 'have', 'already', 'see', 'currently', 'many', 'bug', 'android', 'be', 'week']",2019-03-31,128880,currently too many bugs for android not getting rid of stories once I've already seen them been like this for weeks now,1,currently too many bug for android not getting rid of story once i have already seen currently too many bug for android been like this for week now,Hasty,"[0.08120419885125767, 0.023965141612200435, 0.022281639928698756, 0.039116656763715583, 0.023965141612200435, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.0273321449792038, 0.022281639928698756, 0.022281639928698756, 0.023965141612200435, 0.022281639928698756, 0.03238265002970885, 0.02564864329570212, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756, 0.0374331550802139, 0.023965141612200435, 0.029015646662705483, 0.04080015844721727, 0.03069914834620717, 0.05426817191523072, 0.02564864329570212, 0.023965141612200435, 0.0778371954842543]"
2,87862,70270,1,Snapchat,,"['give', 'star', 'ever', 'download', 'application', 'youse', 'refuse', 'sign', 'account', 'hope', 'do', 'not', 'mind', 'work', 'application']",2019-03-31,128890,"i give two stars because ever since i downloaded this app, youve refused to sign my account up, hope you dont mind working on it",2,i give two star because ever since i downloaded this application youse refused to sign my account up hope you do not mind working on this application,Celestine Achieng,"[0.03392468098350452, 0.023342670401493935, 0.044506691565515094, 0.028633675692499222, 0.05508870214752567, 0.025106338831829035, 0.030397344122834322, 0.023342670401493935, 0.025106338831829035, 0.023342670401493935, 0.025106338831829035, 0.025106338831829035, 0.025106338831829035, 0.035688349413839617, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.025106338831829035, 0.023342670401493935, 0.023342670401493935, 0.03921568627450981, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.023342670401493935, 0.025106338831829035, 0.02687000726216413, 0.023342670401493935, 0.025106338831829035, 0.097416744475568, 0.023342670401493935, 0.03392468098350452]"
3,87867,70275,1,Snapchat,,"['love', 'snapshot', 'thing', 'hate', 'be', 'want', 'send', 'something', 'sometimes', 'say', 'wait', 'send', 'doe', 'not', 'take', 'be', 'annoying', 'not', 'see', 'have', 'open', 'chat', 'friend', 'say', 'happen', 'friend', 'not', 'delete', 'chat', 'instal', 'happen', 'download', 'happen', 'be', 'do', 'eventually', 'happen', 'be', 'happen']",2019-03-31,128896,"I loveee Snapchat but the only thing I hate about it is when I want to send something and sometimes it just says ""waiting to send"" and it doesn't take off and it's annoying because u can't see if they've opened the chat. my friend says that this happens to her to. And u can't delete the chat so I just uninstall it and download it again this is my 4th doing that but eventually it's gonna happen agian😢😑",3,i love snapshot but the only thing i hate about it is when i want to send something and sometimes it just say waiting to send and it doe not take off and it is annoying because you can not see if they have opened the chat my friend say that this happens to my friend to and you can not delete the chat so i just instal this happens to her to and download this happens to her to again this is my th doing that but eventually this happens to her to is gon na happen again,A Google User,"[0.018853695324283565, 0.025976202446790688, 0.02027819674878499, 0.04591922238981062, 0.018853695324283565, 0.021702698173286416, 0.04591922238981062, 0.018853695324283565, 0.018853695324283565, 0.023127199597787838, 0.018853695324283565, 0.018853695324283565, 0.02740070387129211, 0.057315233785822026, 0.018853695324283565, 0.03024970672029496, 0.018853695324283565, 0.018853695324283565, 0.025976202446790688, 0.02740070387129211, 0.018853695324283565, 0.02027819674878499, 0.018853695324283565, 0.02027819674878499, 0.08580526227585052, 0.018853695324283565, 0.018853695324283565, 0.04591922238981062, 0.023127199597787838, 0.09292776939835765, 0.018853695324283565, 0.053041729512317747, 0.018853695324283565, 0.024551701022289263]"
4,87870,70278,1,Snapchat,,"['give', 'suggestion', 'log', 'have', 'forgot_password', 'be', 'not', 'accept', 'email', 'phone', 'also']",2019-03-31,128899,give me suggestions how should I log in if i have forgot the password? ? it's not accepting the e-mail and phone no. also,2,give me suggestion how should i log in if i have forgot the password it is not accepting the email and phone no also,Amisha.agicha@facebook.com Amisha,"[0.05409060175794456, 0.025354969574036525, 0.025354969574036525, 0.025354969574036525, 0.0291863871985576, 0.04068064007212082, 0.025354969574036525, 0.025354969574036525, 0.025354969574036525, 0.027270678386297063, 0.025354969574036525, 0.027270678386297063, 0.025354969574036525, 0.03684922244759974, 0.025354969574036525, 0.025354969574036525, 0.025354969574036525, 0.025354969574036525, 0.025354969574036525, 0.025354969574036525, 0.0291863871985576, 0.06750056344376833, 0.025354969574036525, 0.027270678386297063, 0.027270678386297063, 0.025354969574036525, 0.027270678386297063, 0.03301780482307867, 0.027270678386297063, 0.03301780482307867, 0.025354969574036525, 0.027270678386297063, 0.0291863871985576, 0.025354969574036525]"
5,87900,70308,1,Snapchat,,"['record', 'snap', 'attempt', 'distort', 'voice', 'point', 'almost', 'not', 'able', 'understand', 'have', 'exit', 'completely', 'restart', 'record', 'time', 'anyone_else', 'have', 'issue']",2019-03-31,128949,"after I record 1 snap, I attempt again and it distorts the voice to the point of almost not being able to understandit. I have to exit completely, and restart and can only record 1 at a time. anyone else have this issue?",1,after i record snap i attempt again and it distorts the voice to the point of almost not being able to understand i have to exit completely and restart and can only record at a time anyone else have this issue,Ashley VanTroostenberghe,"[0.02396514161220044, 0.022281639928698756, 0.022281639928698756, 0.029015646662705487, 0.02396514161220044, 0.022281639928698756, 0.022281639928698756, 0.0273321449792038, 0.022281639928698756, 0.022281639928698756, 0.05595167359873241, 0.022281639928698756, 0.022281639928698756, 0.034066151713210535, 0.022281639928698756, 0.02396514161220044, 0.030699148346207173, 0.022281639928698756, 0.02396514161220044, 0.022281639928698756, 0.035749653396712225, 0.022281639928698756, 0.035749653396712225, 0.02396514161220044, 0.03743315508021391, 0.022281639928698756, 0.022281639928698756, 0.045850663497722315, 0.025648643295702125, 0.10645672410378293, 0.03743315508021391, 0.022281639928698756, 0.022281639928698756, 0.022281639928698756]"
6,87902,70310,1,Snapchat,,"['do', 'not', 'know', 'be', 'be', 'go', 'snapshot', 'lately', 'update', 'post', 'something', 'story', 'story', 'post', 'story', 'twice', 'have', 'go', 'back', 'delete', 'one', 'also', 'whenever', 'choose', 'mute', 'video', 'story', 'play', 'story', 'sound', 'be', 'annoying', 'do', 'not', 'do', 'update', 'use', 'work', 'fine', 'come', 'snapshot', 'team', 'make', 'snapshot', 'great']",2019-03-31,128951,"I don't know what's been going on with snapchat lately since after the update. I'll post something on my story and it'll post it twice so I have to go back and delete one. Also, whenever I choose to mute a video it'll go ahead and play it with sound. It's very annoying. It didn't do this before the update. It use to work just fine. Come on snapchat team! Make snapchat great again!",4,i do not know what is been going on with snapshot lately since after the update i will post something on my story and my story will post my story twice so i have to go back and delete one also whenever i choose to mute a video my story will go ahead and play my story with sound it is very annoying it did not do this before the update it use to work just fine come on snapshot team make snapshot great again,Yesenia Q.,"[0.019683842529259768, 0.01709986320109439, 0.019683842529259768, 0.10883112935096519, 0.032603739170086625, 0.01709986320109439, 0.018391852865177076, 0.020975832193342453, 0.01709986320109439, 0.018391852865177076, 0.01709986320109439, 0.018391852865177076, 0.02743578051375589, 0.03260373917008663, 0.02743578051375589, 0.019683842529259768, 0.03647970816233469, 0.020975832193342453, 0.01709986320109439, 0.018391852865177076, 0.049399604803161565, 0.04681562547499619, 0.0261437908496732, 0.02743578051375589, 0.0261437908496732, 0.018391852865177076, 0.03260373917008663, 0.02743578051375589, 0.04810761513907888, 0.023559811521507826, 0.018391852865177076, 0.028727770177838577, 0.018391852865177076, 0.08299133606931144]"
7,87934,70342,1,Snapchat,,"['fix', 'android', 'application', 'snap', 'code', 'application', 'actually', 'use', 'camera', 'instead', 'screenshot', 'have', 'galaxy', 'still', 'part', 'snapshot', 'android', 'meme']",2019-03-31,128993,Fix your android app snap. Code the app to actually use the camera instead of a screenshot. I have a galaxy S10 and still I am part of the snapchat android meme.,2,fix your android application snap code the application to actually use the camera instead of a screenshot i have a galaxy s and still i am part of the snapshot android meme,Matt DeWolfe,"[0.05426817191523074, 0.022281639928698763, 0.022281639928698763, 0.03238265002970886, 0.06100217864923747, 0.037433155080213915, 0.022281639928698763, 0.022281639928698763, 0.023965141612200445, 0.025648643295702128, 0.023965141612200445, 0.022281639928698763, 0.022281639928698763, 0.022281639928698763, 0.023965141612200445, 0.05426817191523074, 0.022281639928698763, 0.03069914834620718, 0.022281639928698763, 0.03069914834620718, 0.023965141612200445, 0.022281639928698763, 0.022281639928698763, 0.037433155080213915, 0.022281639928698763, 0.027332144979203808, 0.025648643295702128, 0.03069914834620718, 0.04248366013071897, 0.04080015844721729, 0.022281639928698763, 0.03406615171321054, 0.023965141612200445, 0.025648643295702128]"
8,87939,70347,1,Snapchat,,"['horrible', 'crash', 'often', 'not', 'even', 'use']",2019-03-31,129001,HORRIBLE! Crashes so often. Can't even used it.,1,horrible crash so often can not even used it,Kyle Johnson,"[0.026260504201680676, 0.026260504201680676, 0.026260504201680676, 0.030228758169934648, 0.026260504201680676, 0.04411764705882353, 0.026260504201680676, 0.026260504201680676, 0.026260504201680676, 0.026260504201680676, 0.040149393090569564, 0.026260504201680676, 0.02824463118580766, 0.04411764705882353, 0.02824463118580766, 0.040149393090569564, 0.030228758169934648, 0.026260504201680676, 0.026260504201680676, 0.026260504201680676, 0.02824463118580766, 0.026260504201680676, 0.026260504201680676, 0.026260504201680676, 0.026260504201680676, 0.026260504201680676, 0.030228758169934648, 0.026260504201680676, 0.04411764705882353, 0.026260504201680676, 0.03419701213818861, 0.026260504201680676, 0.026260504201680676, 0.026260504201680676]"
9,87941,70349,1,Snapchat,,"['snapshot', 'fix', 'new', 'update', 'hawes', 'user', 'problem', 'be', 'icon', 'let', 'go', 'homescrengo', 'backwards', 'see', 'aps', 'block', 'snapshot', 'save', 'icon', 'message', 'ianthe', 'story', 'icon', 'many', 'give', 'star', 'fix', 'new', 'update', 'hawes', 'phone', 'user']",2019-03-31,129003,"PLEASE snapchat Fix this new update for huawei users ,The Problem is our icons that let us go to homescreen,go backwards and To see all apps are blocking the snapchat save icon ,the message icon,the story icon and many other .Please I will give 5 star if u fix this new update for us huawei phone users.",1,please snapshot fix this new update for hawes user the problem is our icon that let our go to homescrengo backwards and to see all aps are blocking the snapshot save icon the message ianthe story icon and many other please i will give star if you fix this new update for u hawes phone user,Sio,"[0.027755394395201, 0.020145044319097503, 0.021667114334318203, 0.0307995344256424, 0.04754230459307009, 0.0368878144865252, 0.023189184349538903, 0.020145044319097503, 0.021667114334318203, 0.020145044319097503, 0.023189184349538903, 0.021667114334318203, 0.06885128480615989, 0.04754230459307009, 0.026233324379980303, 0.020145044319097503, 0.0307995344256424, 0.0368878144865252, 0.020145044319097503, 0.021667114334318203, 0.0338436744560838, 0.020145044319097503, 0.0307995344256424, 0.021667114334318203, 0.021667114334318203, 0.023189184349538903, 0.021667114334318203, 0.023189184349538903, 0.021667114334318203, 0.0338436744560838, 0.026233324379980303, 0.058196794699614994, 0.0338436744560838, 0.042976094547408]"
